"SILJ","","","","",""
"As of: 05/11/2026","","","","",""
"","","","","",""
"NAME","TICKER","CUSIP","SHARES","PRICE","MARKET VALUE","WEIGHTINGS"
"First Majestic Silver Corp","AG","32076V103","20025364.00000000","21.860000","437754457.04","10.60%"
"COEUR MINING INC.","CDE","192108504","20417486.00000000","18.560000","378948540.16","9.18%"
"Hecla Mining Co","HL","422704106","18531501.00000000","18.610000","344871233.61","8.35%"
"Wheaton Precious Metals Corp","WPM","962879102","1770059.00000000","138.850000","245772692.15","5.95%"
"Endeavour Silver Corp","EXK","29258Y103","17023853.00000000","10.030000","170749245.59","4.14%"
"Hycroft Mining Holding Corp","HYMC","44862P208","4429392.00000000","38.440000","170265828.48","4.12%"
"Pan American Silver Corp","PAAS","697900108","2714929.00000000","59.140000","160560901.06","3.89%"
"SSR Mining Inc","SSRM","784730103","4595277.00000000","34.200000","157158473.40","3.81%"
"KGHM Polska Miedz SA","KGH PW","5263251","1652908.00000000","338.650000","155689235.87","3.77%"
"Perpetua Resources Corp","PPTA","714266103","5126938.00000000","29.950000","153551793.10","3.72%"
"Cia de Minas Buenaventura SAA","BVN","204448104","4162428.00000000","35.360000","147183454.08","3.57%"
"Silvercorp Metals Inc","SVM","82835P103","9973522.00000000","13.500000","134642547.00","3.26%"
"Seabridge Gold Inc","SA","811916105","3813919.00000000","31.210000","119032411.99","2.88%"
"Boliden AB","BOL SS","BPYTZ57","2137773.00000000","512.800000","118948801.22","2.88%"
"Aya Gold & Silver Inc","AYA CN","BK94091","5461488.00000000","26.440000","105472020.10","2.56%"
"OR Royalties Inc","OR","68390D106","2580374.00000000","38.420000","99137969.08","2.40%"
"Franco-Nevada Corp","FNV","351858105","395663.00000000","232.110000","91837338.93","2.22%"
"Triple Flag Precious Metals Corp","TFPM","89679M104","2439036.00000000","33.380000","81415021.68","1.97%"
"Skeena Resources Ltd","SKE CN","BMDM761","2319248.00000000","43.510000","73705704.83","1.79%"
"Artemis Gold Inc","ARTG CN","BKLTQ63","2932720.00000000","34.170000","73194830.47","1.77%"
"Vizsla Silver Corp","VZLA","92859G608","19201684.00000000","3.560000","68357995.04","1.66%"
"Fortuna Mining Corp","FSM","349942102","6158760.00000000","10.760000","66268257.60","1.61%"
"Royal Gold Inc","RGLD","780287108","257899.00000000","238.910000","61614650.09","1.49%"
"Americas Gold & Silver Corp","USA CN","BVMJP62","8333437.00000000","9.030000","54963798.20","1.33%"
"Fresnillo PLC","FRES LN","B2QPKJ1","992451.00000000","35.720000","48302743.79","1.17%"
"Avino Silver & Gold Mines Ltd","ASM","053906103","6327797.00000000","6.900000","43661799.30","1.06%"
"Hochschild Mining PLC","HOC LN","B1FW502","4928714.00000000","6.410000","43047003.41","1.04%"
"Trilogy Metals Inc","TMQ","89621C105","9402594.00000000","4.490000","42217647.06","1.02%"
"AbraSilver Resource Corp","ABRA CN","BR4XSQ5","3005721.00000000","18.370000","40329482.70","0.98%"
"Industrias Penoles SAB de CV","PE&OLES* MM","2448200","556191.00000000","1016.000000","32840707.62","0.80%"
"McEwen Inc","MUX","58039P305","1200548.00000000","24.230000","29089278.04","0.70%"
"Western Copper & Gold Corp","WRN","95805V108","5694370.00000000","3.080000","17538659.60","0.42%"
"Santacruz Silver Mining Ltd","SCZ CN","BVV5T70","1662271.00000000","12.330000","14970273.49","0.36%"
"GoGold Resources Inc","GGD CN","B60BNP0","6670018.00000000","3.000000","14615480.24","0.35%"
"Kingsgate Consolidated Ltd","KCN AU","6492731","2520209.00000000","6.940000","12670789.11","0.31%"
"i-80 Gold Corp","IAUX","44955L106","8010688.00000000","1.580000","12656887.04","0.31%"
"Osisko Metals Inc","OM CN","BYW9WY0","8456350.00000000","1.740000","10747241.98","0.26%"
"First Mining Gold Corp","FF CN","BFNW3J7","28490259.00000000","0.500000","10404739.98","0.25%"
"Invesco Government & Agency Portfolio 12/31/2031","AGPXX","825252885","9828419.01000000","100.000000","9828419.01","0.24%"
"Silver Mines Ltd","SVL AU","B1HMJH5","69161639.00000000","0.180000","9018730.64","0.22%"
"Andean Precious Metals Corp","APM CN","BNDS6V4","1479527.00000000","6.550000","7078300.96","0.17%"
"Heliostar Metals Ltd","HSTR CN","BMCKNF7","4028608.00000000","2.230000","6561825.90","0.16%"
"Guanajuato Silver Co Ltd","GSVR CN","BMDM727","13684999.00000000","0.650000","6497150.94","0.16%"
"Contango Silver & Gold Inc","CTGO","21077F100","210848.00000000","27.190000","5732957.12","0.14%"
"Silver Storm Mining Ltd","SVRS CN","BSBJWM7","12294783.00000000","0.530000","4759502.59","0.12%"
"Tudor Gold Corp","TUD CN","BL56G67","5995078.00000000","1.080000","4729153.63","0.11%"
"Paramount Gold Nevada Corp","PZG","69924M109","3027307.00000000","1.440000","4359322.08","0.11%"
"Aftermath Silver Ltd","AAG CN","BDFS6H8","7117438.00000000","0.820000","4262872.81","0.10%"
"Silver Mountain Resources Inc","AGMR CN","BM9YFC3","1318881.00000000","4.170000","4017043.15","0.10%"
"Volcan Cia Minera SAA","VOLCABC1 PE","2236063","13264294.00000000","0.749000","2883625.87","0.07%"
"Chesapeake Gold Corp","CKG CN","2969886","948992.00000000","3.290000","2280464.31","0.06%"
"Manuka Resources Ltd","MKR AU","BMVB5T9","27665927.00000000","0.092000","1843914.11","0.04%"
"Falco Resources Ltd","FPC CN","BPG1NG8","3491972.00000000","0.505000","1288032.91","0.03%"
"IMPACT Silver Corp","IPT CN","2480592","5520682.00000000","0.305000","1229864.88","0.03%"
"Copper Fox Metals Inc","CUU CN","B02SP06","3054375.00000000","0.550000","1227015.01","0.03%"
"ALASKA SILVER CORP","WAM CN","BV3N4C2","1092663.00000000","0.765000","610961.66","0.01%"
"Panoro Minerals Ltd","PML CN","2001551","561325.00000000","1.310000","537094.26","0.01%"
"CANADIAN DOLLAR","CAD","CASHCAD","150976.71000000","1.000000","110274.42","0.00%"
"Minera Frisco SAB de CV","MFRISCOA MF","B3QHKH2","191289.00000000","9.660000","107389.54","0.00%"
"PERUVIAN SOL","PEN","CASHPEN","80598.00000000","1.000000","23393.61","0.00%"
"West Vault Mining Inc","WVM CN","BL0P3K2","17162.00000000","1.700000","21309.91","0.00%"
"Almaden Minerals Ltd","AMM CN","BZ0QMF1","60571.00000000","0.260000","11502.78","0.00%"
"Trevali Mining Corp","TV CN","BPP3CJ1","967999.00000000","0.000000","0.00","0.00%"
"Cash & Other","Cash&Other","Cash&Other","4578381.65000000","1.000000","4578381.65","0.11%"
"--------------------","--------------------","--------------------","--------------------","--------------------","--------------------"

"Fund holdings are subject to change at any time and should not be considered recommendations to buy or sell any security.","","","","",""
